VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,19:12.0,25:05.0,N,1,74,75,1,1.42,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,03:04.0,10:34.0,N,1,74,75,1,0.85,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,59:19.0,05:42.0,N,1,74,75,1,1.35,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,22:14.0,27:50.0,N,1,74,75,1,1.44,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,31:14.0,37:41.0,N,1,74,75,1,1.22,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,37:06.0,43:10.0,N,1,74,75,1,1.3,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,23:09.0,29:25.0,N,1,74,75,1,1.09,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,52:20.0,58:40.0,N,1,74,75,1,1.23,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,59:36.0,06:25.0,N,1,74,75,1,1.18,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,20:50.0,26:42.0,N,1,74,75,1,1.44,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,44:54.0,51:54.0,N,1,74,75,1,1.03,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,44:46.0,51:36.0,N,1,74,75,1,1.22,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,55:03.0,02:12.0,N,1,74,75,1,1.07,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,00:49.0,07:43.0,N,1,74,75,1,1.21,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,42:07.0,49:06.0,N,1,74,75,1,1.18,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,50:40.0,57:51.0,N,1,74,75,1,1.1,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,06:54.0,13:33.0,N,1,74,75,1,1.2,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,36:25.0,42:27.0,N,1,74,75,1,1.5,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,04:52.0,09:10.0,N,1,74,75,1,1.44,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,44:36.0,50:45.0,N,1,74,75,1,1.14,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,31:57.0,36:47.0,N,1,74,75,1,1.42,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,00:24.0,06:29.0,N,1,74,75,1,1.37,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,01:26.0,08:42.0,N,1,74,75,1,0.95,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,44:57.0,50:07.0,N,1,74,75,1,1.51,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,48:23.0,55:07.0,N,1,74,75,1,1.09,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,57:23.0,04:12.0,N,1,74,75,1,1.24,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,00:43.0,06:51.0,N,1,74,75,1,1.23,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,58:46.0,05:40.0,N,1,74,75,1,1.23,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,47:12.0,55:15.0,N,1,74,75,1,0.78,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,30:59.0,38:00.0,N,1,74,75,1,1.28,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,04:15.0,10:15.0,N,1,74,75,1,1.47,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,20:07.0,26:44.0,N,1,74,75,1,1.23,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,56:52.0,03:12.0,N,1,74,75,1,1.32,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,00:55.0,09:31.0,N,1,74,75,1,1.28,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,36:09.0,42:40.0,N,1,74,75,1,1.09,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,49:30.0,55:41.0,N,1,74,75,1,1.29,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,10:44.0,17:37.0,N,1,74,75,1,1.1,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,05:16.0,12:04.0,N,1,74,75,1,1.16,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,06:04.0,12:49.0,N,1,74,75,1,0.98,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,22:49.0,28:31.0,N,1,74,75,1,1.45,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,14:47.0,21:38.0,N,1,74,75,1,1.22,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,34:56.0,42:01.0,N,1,74,75,1,0.8,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,23:11.0,29:46.0,N,1,74,75,1,1.3,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,01:44.0,09:28.0,N,1,74,75,1,0.94,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,04:35.0,10:51.0,N,1,74,75,1,1.41,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,07:58.0,14:47.0,N,1,74,75,1,1.12,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,11:26.0,17:33.0,N,1,74,75,1,1.25,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,24:12.0,30:17.0,N,1,74,75,1,1.42,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,08:31.0,15:44.0,N,1,74,75,1,1.02,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,59:11.0,05:15.0,N,1,74,75,1,1.18,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,23:52.0,30:02.0,N,1,74,75,1,1.45,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,14:26.0,22:32.0,N,1,74,75,1,0.85,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,34:41.0,41:06.0,N,1,74,75,1,1.23,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,23:04.0,29:53.0,N,1,74,75,1,1.14,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,49:19.0,56:29.0,N,1,74,75,1,1.31,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,29:23.0,35:56.0,N,1,74,75,1,1.33,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,24:19.0,29:35.0,N,1,74,75,1,1.4,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,49:15.0,56:59.0,N,1,74,75,1,1.06,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,28:42.0,35:37.0,N,1,74,75,1,1.16,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,29:57.0,35:04.0,N,1,74,75,1,1.47,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,21:12.0,27:02.0,N,1,74,75,1,1.22,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,47:21.0,54:27.0,N,1,74,75,1,1.1,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,20:47.0,27:32.0,N,1,74,75,1,1.2,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,00:37.0,08:13.0,N,1,74,75,1,1.06,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,50:20.0,57:26.0,N,1,74,75,1,1.15,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,14:08.0,21:22.0,N,1,74,75,1,0.96,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,24:54.0,31:34.0,N,1,74,75,1,1.17,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,52:47.0,00:15.0,N,1,74,75,1,0.98,6.5,0,0.5,0,0,0.3,7.3,2,1,0
